gid,date,major_heading_id,minor_heading_id,speech_id,paragraph_pid,agreed_text,motion_title,motion_gid,chamber,__index_level_0__
uk.org.publicwhip/debate/2019-01-07c.121.0.8,2019-01-07,uk.org.publicwhip/debate/2019-01-07c.61.3,uk.org.publicwhip/debate/2019-01-07c.113.3,uk.org.publicwhip/debate/2019-01-07c.121.0,c121.0/8,Question put and agreed to.,NHS LONG-TERM PLAN: Leaving the EU: Tobacco Products and Public Health,uk.org.publicwhip/debate/2019-01-07c.114.0.2,house-of-commons,408
uk.org.publicwhip/debate/2019-01-07c.135.12.2,2019-01-07,uk.org.publicwhip/debate/2019-01-07c.61.3,uk.org.publicwhip/debate/2019-01-07c.123.2,uk.org.publicwhip/debate/2019-01-07c.135.12,c135.12/2,Question put and agreed to.,NHS LONG-TERM PLAN: Committee on Standards: Cox Report,uk.org.publicwhip/debate/2019-01-07c.124.1.1,house-of-commons,409
uk.org.publicwhip/debate/2019-01-07c.137.16.2,2019-01-07,uk.org.publicwhip/debate/2019-01-07c.137.1,uk.org.publicwhip/debate/2019-01-07c.137.15,uk.org.publicwhip/debate/2019-01-07c.137.16,c137.16/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Civil Aviation),uk.org.publicwhip/debate/2019-01-07c.137.16.1,house-of-commons,410
uk.org.publicwhip/debate/2019-01-08b.277.4.2,2019-01-08,uk.org.publicwhip/debate/2019-01-08b.211.0,uk.org.publicwhip/debate/2019-01-08b.277.1,uk.org.publicwhip/debate/2019-01-08b.277.4,b277.4/2,Amendment 7 agreed to.,Amendment: FINANCE (NO. 3) BILL: Minor amendments in consequence of EU withdrawal,uk.org.publicwhip/debate/2019-01-08b.277.4.3,house-of-commons,208
uk.org.publicwhip/debate/2019-01-08b.325.6.6,2019-01-08,uk.org.publicwhip/debate/2019-01-08b.324.0,uk.org.publicwhip/debate/2019-01-08b.325.1,uk.org.publicwhip/debate/2019-01-08b.325.6,b325.6/6,Question agreed to.,SUPPLEMENTARY: Intangible Fixed Assets: Exceptions to degrouping charges etc,uk.org.publicwhip/debate/2019-01-08b.325.6.2,house-of-commons,209
uk.org.publicwhip/debate/2019-01-08b.329.0.9,2019-01-08,uk.org.publicwhip/debate/2019-01-08b.324.0,uk.org.publicwhip/debate/2019-01-08b.325.1,uk.org.publicwhip/debate/2019-01-08b.329.0,b329.0/9,Question put and agreed to.,Third Reading: SUPPLEMENTARY,uk.org.publicwhip/debate/2019-01-08b.326.0.1,house-of-commons,210
uk.org.publicwhip/debate/2019-01-08b.330.4.2,2019-01-08,uk.org.publicwhip/debate/2019-01-08b.330.1,uk.org.publicwhip/debate/2019-01-08b.330.3,uk.org.publicwhip/debate/2019-01-08b.330.4,b330.4/2,Question agreed to.,DELEGATED LEGISLATION,uk.org.publicwhip/debate/2019-01-08b.330.2.1,house-of-commons,211
uk.org.publicwhip/debate/2019-01-08b.337.2.13,2019-01-08,uk.org.publicwhip/debate/2019-01-08b.331.0,uk.org.publicwhip/debate/2019-01-08b.331.2,uk.org.publicwhip/debate/2019-01-08b.337.2,b337.2/13,Question put and agreed to.,Adjournment Debate: PETITION - MAXIMUM SENTENCES FOR CHILD CRUELTY OFFENCES,uk.org.publicwhip/debate/2019-01-08b.332.0.1,house-of-commons,212
uk.org.publicwhip/debate/2019-01-09a.382.8.15,2019-01-09,uk.org.publicwhip/debate/2019-01-09a.381.7,"",uk.org.publicwhip/debate/2019-01-09a.382.8,a382.8/15,Question put and agreed to.,Leave for Bill: ARMED FORCES (DEROGATION FROM EUROPEAN CONVENTION ON HUMAN RIGHTS),uk.org.publicwhip/debate/2019-01-09a.382.1.1,house-of-commons,0
uk.org.publicwhip/debate/2019-01-09a.385.3.2,2019-01-09,uk.org.publicwhip/debate/2019-01-09a.385.0,"",uk.org.publicwhip/debate/2019-01-09a.385.3,a385.3/2,"Main Question, as amended, put forthwith and agreed to.",BUSINESS OF THE HOUSE (SECTION 13(1)(B) OF THE EUROPEAN UNION (WITHDRAWAL) ACT 2018) (NO. 2),uk.org.publicwhip/debate/2019-01-09a.385.3.3,house-of-commons,1
uk.org.publicwhip/debate/2019-01-09a.508.4.2,2019-01-09,uk.org.publicwhip/debate/2019-01-09a.508.1,uk.org.publicwhip/debate/2019-01-09a.508.3,uk.org.publicwhip/debate/2019-01-09a.508.4,a508.4/2,Question agreed to.,"Approve: Anti-social Behaviour, Crime and Policing Act 2014 (Amendment) Order 2018",uk.org.publicwhip/debate/2019-01-09a.508.2.1,house-of-commons,2
uk.org.publicwhip/debate/2019-01-09a.508.6.2,2019-01-09,uk.org.publicwhip/debate/2019-01-09a.508.1,uk.org.publicwhip/debate/2019-01-09a.508.5,uk.org.publicwhip/debate/2019-01-09a.508.6,a508.6/2,Question agreed to.,DELEGATED LEGISLATION: Anti-Social Behaviour,uk.org.publicwhip/debate/2019-01-09a.508.4.3,house-of-commons,3
uk.org.publicwhip/debate/2019-01-09a.513.0.18,2019-01-09,uk.org.publicwhip/debate/2019-01-09a.508.1,uk.org.publicwhip/debate/2019-01-09a.509.0,uk.org.publicwhip/debate/2019-01-09a.513.0,a513.0/18,Question put and agreed to.,Adjournment Debate: DELEGATED LEGISLATION,uk.org.publicwhip/debate/2019-01-09a.509.1.1,house-of-commons,4
