division_gid,motion_gid,chamber,__index_level_0__
uk.org.publicwhip/debate/2019-02-18c.1264.2,uk.org.publicwhip/debate/2019-02-18c.1264.1.1,house-of-commons,10
uk.org.publicwhip/debate/2019-02-18c.1272.2,uk.org.publicwhip/debate/2019-02-18c.1267.0.1,house-of-commons,11
uk.org.publicwhip/debate/2019-02-25d.97.0,uk.org.publicwhip/debate/2019-02-25d.97.1.2,house-of-commons,45
uk.org.publicwhip/debate/2019-02-26b.274.6,uk.org.publicwhip/debate/2019-02-26b.274.5.1,house-of-commons,175
uk.org.publicwhip/debate/2019-02-27a.444.1,uk.org.publicwhip/debate/2019-02-27a.444.0.3,house-of-commons,65
uk.org.publicwhip/debate/2019-02-27a.449.0,uk.org.publicwhip/debate/2019-02-27a.444.2.3,house-of-commons,66
uk.org.publicwhip/debate/2019-02-27a.453.2,uk.org.publicwhip/debate/2019-02-27a.453.1.4,house-of-commons,67
uk.org.publicwhip/debate/2019-02-27a.469.3,uk.org.publicwhip/debate/2019-02-27a.469.2.1,house-of-commons,68
uk.org.publicwhip/debate/2019-02-27a.473.2,uk.org.publicwhip/debate/2019-02-27a.473.1.1,house-of-commons,69
uk.org.publicwhip/debate/2019-02-27a.477.2,uk.org.publicwhip/debate/2019-02-27a.477.1.1,house-of-commons,70
uk.org.publicwhip/debate/2019-02-27a.482.2,uk.org.publicwhip/debate/2019-02-27a.482.1.1,house-of-commons,71
uk.org.publicwhip/debate/2019-02-27a.486.2,uk.org.publicwhip/debate/2019-02-27a.486.1.1,house-of-commons,72
uk.org.publicwhip/debate/2019-02-27a.491.2,uk.org.publicwhip/debate/2019-02-27a.491.1.1,house-of-commons,73
uk.org.publicwhip/debate/2019-03-06c.1069.3,uk.org.publicwhip/debate/2019-03-06c.1069.2.1,house-of-commons,16
uk.org.publicwhip/debate/2019-03-06c.1073.2,uk.org.publicwhip/debate/2019-03-06c.1073.1.1,house-of-commons,17
uk.org.publicwhip/debate/2019-03-06c.1075.2,uk.org.publicwhip/debate/2019-03-06c.1075.1.1,house-of-commons,18
uk.org.publicwhip/debate/2019-03-06c.1078.2,uk.org.publicwhip/debate/2019-03-06c.1078.1.1,house-of-commons,19
uk.org.publicwhip/debate/2019-03-06c.1081.2,uk.org.publicwhip/debate/2019-03-06c.1081.1.1,house-of-commons,20
uk.org.publicwhip/debate/2019-03-06c.1085.2,uk.org.publicwhip/debate/2019-03-06c.1085.1.1,house-of-commons,21
uk.org.publicwhip/debate/2019-03-12c.290.8,uk.org.publicwhip/debate/2019-03-12c.290.6.5,house-of-commons,24
uk.org.publicwhip/debate/2019-03-13b.450.4,uk.org.publicwhip/debate/2019-03-13b.450.3.3,house-of-commons,80
uk.org.publicwhip/debate/2019-03-13b.455.0,uk.org.publicwhip/debate/2019-03-13b.450.5.2,house-of-commons,81
uk.org.publicwhip/debate/2019-03-13b.459.0,uk.org.publicwhip/debate/2019-03-13b.459.1.2,house-of-commons,82
uk.org.publicwhip/debate/2019-03-13b.491.3,uk.org.publicwhip/debate/2019-03-13b.491.2.1,house-of-commons,83
uk.org.publicwhip/debate/2019-03-13b.495.2,uk.org.publicwhip/debate/2019-03-13b.495.1.1,house-of-commons,84
uk.org.publicwhip/debate/2019-03-14c.628.2,uk.org.publicwhip/debate/2019-03-14c.628.1.8,house-of-commons,158
uk.org.publicwhip/debate/2019-03-14c.632.0,uk.org.publicwhip/debate/2019-03-14c.646.4.2,house-of-commons,159
uk.org.publicwhip/debate/2019-03-14c.637.0,uk.org.publicwhip/debate/2019-03-14c.632.1.2,house-of-commons,157
uk.org.publicwhip/debate/2019-03-14c.641.0,uk.org.publicwhip/debate/2019-03-14c.637.1.2,house-of-commons,160
uk.org.publicwhip/debate/2019-03-14c.646.3,uk.org.publicwhip/debate/2019-03-14c.655.0.1,house-of-commons,161
uk.org.publicwhip/debate/2019-03-18c.863.2,uk.org.publicwhip/debate/2019-03-18c.845.0.1,house-of-commons,132
uk.org.publicwhip/debate/2019-03-19a.1012.0,uk.org.publicwhip/debate/2019-03-19a.1012.1.2,house-of-commons,166
uk.org.publicwhip/debate/2019-03-20b.1142.5,uk.org.publicwhip/debate/2019-03-20b.1142.3.1,house-of-commons,86
uk.org.publicwhip/debate/2019-03-20b.1188.3,uk.org.publicwhip/debate/2019-03-20b.1188.2.1,house-of-commons,87
uk.org.publicwhip/debate/2019-03-20b.1193.2,uk.org.publicwhip/debate/2019-03-20b.1193.1.1,house-of-commons,88
uk.org.publicwhip/debate/2019-03-20b.1197.2,uk.org.publicwhip/debate/2019-03-20b.1197.1.1,house-of-commons,89
uk.org.publicwhip/debate/2019-03-20b.1200.2,uk.org.publicwhip/debate/2019-03-20b.1200.1.1,house-of-commons,90
uk.org.publicwhip/debate/2019-03-22a.1343.3,uk.org.publicwhip/debate/2019-03-22a.1343.1.1,house-of-commons,3
uk.org.publicwhip/debate/2019-03-25c.127.1,uk.org.publicwhip/debate/2019-03-25c.127.0.2,house-of-commons,168
uk.org.publicwhip/debate/2019-03-25c.132.0,uk.org.publicwhip/debate/2019-03-25c.127.2.4,house-of-commons,169
uk.org.publicwhip/debate/2019-03-25c.137.1,uk.org.publicwhip/debate/2019-03-25c.137.2.3,house-of-commons,170
uk.org.publicwhip/debate/2019-03-26c.251.1,uk.org.publicwhip/debate/2019-03-26c.250.1.9,house-of-commons,5
