gid,speech_id,date,motion_title,motion_text,chamber,__index_level_0__
uk.org.publicwhip/debate/2019-01-07c.114.0.2,uk.org.publicwhip/debate/2019-01-07c.114.0,2019-01-07,NHS LONG-TERM PLAN: Leaving the EU: Tobacco Products and Public Health,"I beg to move,
That the draft Tobacco Products and Nicotine Inhaling Products (Amendment etc.) (EU Exit) Regulations 2018, which were laid before this House on 1 November, be approved.",house-of-commons,589
uk.org.publicwhip/debate/2019-01-07c.124.1.1,uk.org.publicwhip/debate/2019-01-07c.124.1,2019-01-07,NHS LONG-TERM PLAN: Committee on Standards: Cox Report,"I beg to move,
That this House approves the Fifth Report of the Committee on Standards, Implications of the Dame Laura Cox report for the House’s standards system: Initial proposals, HC 1726, and agrees the following changes to Standing Orders and to the Guide to the Rules relating to the Conduct of Members as approved by the House on 17 March 2015:
Standing Order No. 149 (Committee on Standards)
(i) in paragraph (5), line 3, leave out from “witnesses,” to end and add “may move motions and amendments to motions or draft reports, and may vote.”.
(ii) leave out paragraph (5A).
Guide to the Rules relating to the Conduct of Members
Chapter 4: Procedure for inquiries
(i) Leave out paragraph 6(b) and insert –
“b) be in writing or by email, and provide the complainant’s name and full postal address; and”.
(ii) Leave out paragraph 11.",house-of-commons,590
uk.org.publicwhip/debate/2019-01-07c.137.16.1,uk.org.publicwhip/debate/2019-01-07c.137.16,2019-01-07,DELEGATED LEGISLATION: Exiting the European Union (Civil Aviation),"That the draft Aviation Safety (Amendment etc.) (EU Exit) Regulations 2019, which were laid before this House on 26 November, be approved.—(Iain Stewart.)",house-of-commons,591
uk.org.publicwhip/debate/2019-01-08b.212.3.1,uk.org.publicwhip/debate/2019-01-08b.212.3,2019-01-08,FINANCE (NO. 3) BILL: Impact of provisions of section 5 on child poverty and equality,"‘(1) The Chancellor of the Exchequer must review the impact of the provisions of section 5 and lay a report of that review before the House of Commons within six months of the passing of this Act.
(2) A review under this section must consider the impact of the changes made by section 5 on—
(a) households at different levels of income,
(b) people with protected characteristics (within the meaning of the Equality Act 2010),
(c) the Treasury’s compliance with the public sector equality duty under section 149 of the Equality Act 2010,
(d) different parts of the United Kingdom and different regions of England, and
(e) levels of relative and absolute child poverty in the United Kingdom.
(3) In this section—
“parts of the United Kingdom” means—
(a) England,
(b) Scotland,
(c) Wales, and
(d) Northern Ireland;
“regions of England” has the same meaning as that used by the Office for National Statistics.’—(Peter Dowd.)",house-of-commons,52
uk.org.publicwhip/debate/2019-01-08b.248.1.19,uk.org.publicwhip/debate/2019-01-08b.248.1,2019-01-08,FINANCE (NO. 3) BILL: Review of powers in consequence of EU withdrawal,"New clause 19—Review of powers in consequence of EU withdrawal (No. 2)—
“(1) The Chancellor of the Exchequer must, no later than a week after the passing of this Act and before exercising the power in section 89(1), lay before the House of Commons a review of the following matters—
(a) the fiscal and economic effects of the exercise of the powers in section 89(1) and of the outcome of negotiations for the United Kingdom’s withdrawal from the European Union giving rise to their exercise;
(b) a comparison of those fiscal and economic effects with the effects if a negotiated withdrawal agreement and a framework for a future relationship with the EU had been agreed to;
(c) any differences in the exercise of those powers in respect of—
(i) England,
(ii) Scotland,
(iii) Wales, and
(iv) Northern Ireland;
(d) any differential effects in relation to the matters specified in paragraphs (a) and (b) in relation between—
(i) England,
(ii) Scotland,
(iii) Wales, and
(iv) Northern Ireland.”",house-of-commons,53
uk.org.publicwhip/debate/2019-01-08b.248.1.51,uk.org.publicwhip/debate/2019-01-08b.248.1,2019-01-08,Amendment 7: FINANCE (NO. 3) BILL,"Amendment 7, page 67, line 19, at end insert—
“(7) The provisions of this section only come into force if—
(a) a negotiated withdrawal agreement and a framework for the future relationship have been approved by a resolution of the House of Commons on a motion moved by a Minister of the Crown for the purposes of section 13(1)(b) of the European Union (Withdrawal) Act 2018, or
(b) the Prime Minister has notified the President of the European Council, in accordance with Article 50(3) of the Treaty on European Union, of the United Kingdom’s request to extend the period in which the Treaties shall still apply to the United Kingdom, or
(c) leaving the European Union without a withdrawal agreement and a framework for the future relationship has been approved by a resolution of the House of Commons on a motion moved by a Minister of the Crown.”",house-of-commons,54
uk.org.publicwhip/debate/2019-01-08b.277.2.1,uk.org.publicwhip/debate/2019-01-08b.277.2,2019-01-08,Amendment: FINANCE (NO. 3) BILL: Minor amendments in consequence of EU withdrawal,"Amendment proposed: 7, page 67, line 19, at end insert—
“(7) The provisions of this section only come into force if—
(a) a negotiated withdrawal agreement and a framework for the future relationship have been approved by a resolution of the House of Commons on a motion moved by a Minister of the Crown for the purposes of section 13(1)(b) of the European Union (Withdrawal) Act 2018, or
(b) the Prime Minister has notified the President of the European Council, in accordance with Article 50(3) of the Treaty on European Union, of the United Kingdom’s request to extend the period in which the Treaties shall still apply to the United Kingdom, or
(c) leaving the European Union without a withdrawal agreement and a framework for the future relationship has been approved by a resolution of the House of Commons on a motion moved by a Minister of the Crown.”—(Yvette Cooper.)",house-of-commons,55
uk.org.publicwhip/debate/2019-01-08b.277.4.3,uk.org.publicwhip/debate/2019-01-08b.277.4,2019-01-08,Amendment: FINANCE (NO. 3) BILL: Minor amendments in consequence of EU withdrawal,"Amendment proposed: 8, page 67, line 19, at end insert—
“(7) The provisions of this section shall not come into force until the House of Commons has come to a resolution on a motion made by a Minister of the Crown agreeing its commencement.”—(Mr Leslie.)",house-of-commons,389
uk.org.publicwhip/debate/2019-01-08b.304.2.7,uk.org.publicwhip/debate/2019-01-08b.304.2,2019-01-08,Second Reading: FINANCE (NO. 3) BILL,"The Deputy Speaker put forthwith the Question already proposed from the Chair (Standing Order No. 83E), That the clause be read a Second time.",house-of-commons,56
uk.org.publicwhip/debate/2019-01-08b.312.2.1,uk.org.publicwhip/debate/2019-01-08b.312.2,2019-01-08,FINANCE (NO. 3) BILL: Review of effects on measures in Act of certain changes in migration levels,"“(1) The Chancellor of the Exchequer must review the effects on the provisions of this Act of migration in the scenarios in subsection (2) and lay a report of that review before the House of Commons within one month of the passing of this Act.
(2) Those scenarios are that—
(a) the United Kingdom does not leave the European Union,
(b) the United Kingdom leaves the European Union without a negotiated withdrawal agreement,
(c) the United Kingdom leaves the European Union following a negotiated withdrawal agreement, and remains in the single market and customs union,
(d) the United Kingdom leaves the United Kingdom on the terms of the draft withdrawal agreement of 14 November 2018.
(3) In respect of each of those scenarios the review must consider separately the effects of—
(a) migration by EU nationals, and
(b) migration by non-EU nationals.
(4) In respect of each of those scenarios the review must consider separately the effects on the measures in each part of the United Kingdom and each region of England.
(5) In this section—
“parts of the United Kingdom” means—
(a) England,
(b) Scotland,
(c) Wales, and
(d) Northern Ireland;
“regions of England” has the same meaning as that used by the Office for National Statistics.”—(Kirsty Blackman.)",house-of-commons,57
