gid,speech_id,date,motion_title,motion_text,chamber,__index_level_0__
uk.org.publicwhip/debate/2019-01-08b.325.6.2,uk.org.publicwhip/debate/2019-01-08b.325.6,2019-01-08,SUPPLEMENTARY: Intangible Fixed Assets: Exceptions to degrouping charges etc,"Motion made, and Question put forthwith (Standing Order No. 83M(5)),
That the Committee consents to the following certified clause of the Finance (No. 3) Bill:
Clause certified under Standing Order No. 83L(2) (as modified in its application by Standing Order No. 83S(4)) as relating exclusively to England, Wales and Northern Ireland and being within devolved legislative competence
Clause 3 of the Bill, as amended in Committee and the Public Bill Committee and on Report.—(Mel Stride.)",house-of-commons,390
uk.org.publicwhip/debate/2019-01-08b.326.0.1,uk.org.publicwhip/debate/2019-01-08b.326.0,2019-01-08,Third Reading: SUPPLEMENTARY,"I beg to move, That the Bill be now read the Third time.",house-of-commons,391
uk.org.publicwhip/debate/2019-01-08b.330.2.1,uk.org.publicwhip/debate/2019-01-08b.330.2,2019-01-08,DELEGATED LEGISLATION,"Motion made, and Question put forthwith (Standing Order No. 118(6)).
That the draft Electronic Communications and Wireless Telegraphy (Amendment etc.) (EU Exit) Regulations 2019, which were laid before this House on 29 November, be approved.—(Jeremy Quin.)",house-of-commons,392
uk.org.publicwhip/debate/2019-01-08b.332.0.1,uk.org.publicwhip/debate/2019-01-08b.332.0,2019-01-08,Adjournment Debate: PETITION - MAXIMUM SENTENCES FOR CHILD CRUELTY OFFENCES,"Motion made, and Question proposed, That this House do now adjourn.—(Jeremy Quin.)",house-of-commons,393
uk.org.publicwhip/debate/2019-01-09a.382.1.1,uk.org.publicwhip/debate/2019-01-09a.382.1,2019-01-09,Leave for Bill: ARMED FORCES (DEROGATION FROM EUROPEAN CONVENTION ON HUMAN RIGHTS),"I beg to move,
That leave be given to bring in a Bill to require Her Majesty’s Government to derogate from the European Convention on Human Rights in its application to the conduct of members of the armed forces participating in combat operations overseas; and for connected purposes.",house-of-commons,181
uk.org.publicwhip/debate/2019-01-09a.385.1.17,uk.org.publicwhip/debate/2019-01-09a.385.1,2019-01-09,BUSINESS OF THE HOUSE (SECTION 13(1)(B) OF THE EUROPEAN UNION (WITHDRAWAL) ACT 2018) (NO. 2),"Question put forthwith, That the amendment be made.
The House divided:
Ayes 308, Noes 297.",house-of-commons,0
uk.org.publicwhip/debate/2019-01-09a.385.3.3,uk.org.publicwhip/debate/2019-01-09a.385.3,2019-01-09,BUSINESS OF THE HOUSE (SECTION 13(1)(B) OF THE EUROPEAN UNION (WITHDRAWAL) ACT 2018) (NO. 2),"Ordered,
That the Order of 4 December (Business of the House (Section 13(1)(b) of the European Union (Withdrawal) Act 2018)) be varied as follows:
1. Leave out paragraph (2) and insert:
“(2A) The House shall sit on Friday 11 January.",house-of-commons,182
uk.org.publicwhip/debate/2019-01-09a.508.2.1,uk.org.publicwhip/debate/2019-01-09a.508.2,2019-01-09,"Approve: Anti-social Behaviour, Crime and Policing Act 2014 (Amendment) Order 2018","Motion made, and Question put forthwith (Standing Order No. 118(6)),
That the draft Anti-social Behaviour, Crime and Policing Act 2014 (Amendment) Order 2018, which was laid before this House on 5 November 2018, be approved.—(Amanda Milling.)",house-of-commons,183
uk.org.publicwhip/debate/2019-01-09a.508.4.3,uk.org.publicwhip/debate/2019-01-09a.508.4,2019-01-09,DELEGATED LEGISLATION: Anti-Social Behaviour,"Motion made, and Question put forthwith (Standing Order No. 118(6)),
That the draft Money Laundering and Transfer of Funds (Information) (Amendment) (EU Exit) Regulations 2018, which were laid before this House on 29 November 2018, be approved.—(Amanda Milling.)",house-of-commons,184
uk.org.publicwhip/debate/2019-01-09a.509.1.1,uk.org.publicwhip/debate/2019-01-09a.509.1,2019-01-09,Adjournment Debate: DELEGATED LEGISLATION,"Motion made, and Question proposed, That this House do now adjourn.—(Amanda Milling.)",house-of-commons,185
uk.org.publicwhip/debate/2019-01-10d.687.1.1,uk.org.publicwhip/debate/2019-01-10d.687.1,2019-01-10,Adjournment Debate: EUROPA SCHOOL,"Motion made, and Question proposed, That this House do now adjourn.—(Amanda Milling.)",house-of-commons,641
uk.org.publicwhip/debate/2019-01-11a.698.1.2,uk.org.publicwhip/debate/2019-01-11a.698.1,2019-01-11,POINTS OF ORDER: [7th Allotted Day],"Question again proposed,
That this House approves for the purposes of section 13(1)(b) of the European Union (Withdrawal) Act 2018, the negotiated withdrawal agreement laid before the House on Monday 26 November 2018 with the title ‘Agreement on the withdrawal of the United Kingdom of Great Britain and Northern Ireland from the European Union and the European Atomic Energy Community’ and the framework for the future relationship laid before the House on Monday 26 November 2018 with the title ‘Political Declaration setting out the framework for the future relationship between the European Union and the United Kingdom’.",house-of-commons,257
uk.org.publicwhip/debate/2019-01-14b.979.2.1,uk.org.publicwhip/debate/2019-01-14b.979.2,2019-01-14,DELEGATED LEGISLATION,"Motion made, and Question put forthwith (Standing Order No. 118(6)),
That the draft Investment Allowance and Cluster Area Allowance (Relevant Income: Tariff Receipts) Regulations 2018, which were laid before this House on 31 October, be approved.—(Jo Churchill.)",house-of-commons,338
uk.org.publicwhip/debate/2019-01-14b.979.4.3,uk.org.publicwhip/debate/2019-01-14b.979.4,2019-01-14,DELEGATED LEGISLATION: Corporation Tax,"Motion made, and Question put forthwith (Standing Order No. 118(6)),
That the draft Statutory Auditors and Third Country Auditors (Amendment) (EU Exit) Regulations 2018, which were laid before this House on 6 November, be approved.—(Jo Churchill.)",house-of-commons,339
uk.org.publicwhip/debate/2019-01-14b.980.12.1,uk.org.publicwhip/debate/2019-01-14b.980.12,2019-01-14,DELEGATED LEGISLATION: Exiting the European Union (Financial Services),"That the draft Social Entrepreneurship Funds (Amendment) (EU Exit) Regulations 2018, which were laid before this House on 13 November 2018, be approved.—(Jo Churchill.)",house-of-commons,340
uk.org.publicwhip/debate/2019-01-14b.980.12.3,uk.org.publicwhip/debate/2019-01-14b.980.12,2019-01-14,DELEGATED LEGISLATION: Exiting the European Union (Financial Services),"Motion made, and Question put forthwith (Standing Order No. 118(6)),
That the draft Immigration (Leave to Enter and Remain) (Amendment) Order 2018, which was laid before this House on 3 December, be approved.—(Jo Churchill.)",house-of-commons,341
uk.org.publicwhip/debate/2019-01-14b.980.3.3,uk.org.publicwhip/debate/2019-01-14b.980.3,2019-01-14,DELEGATED LEGISLATION: Exiting the European Union (Merchant Shipping),"Motion made, and Question put forthwith (Standing Order No. 118(6)),
That the draft Air Passenger Rights and Air Travel Organisers’ Licensing (Amendment) (EU Exit) Regulations 2018, which were laid before this House on 28 November, be approved.—(Jo Churchill.)",house-of-commons,342
uk.org.publicwhip/debate/2019-01-14b.980.6.2,uk.org.publicwhip/debate/2019-01-14b.980.6,2019-01-14,DELEGATED LEGISLATION: Exiting the European Union (Civil Aviation),"Motion made, and Question put forthwith (Standing Order No. 118(6)),
That the draft Alternative Investment Fund Managers (Amendment etc.) (EU Exit) Regulations 2018, which were laid before this House on 29 November, be approved.",house-of-commons,343
uk.org.publicwhip/debate/2019-01-14b.982.1.1,uk.org.publicwhip/debate/2019-01-14b.982.1,2019-01-14,Adjournment Debate: ST ROLLOX RAILWAY WORKS: CLOSURE,"Motion made, and Question proposed, That this House do now adjourn.—(Craig Whittaker.)",house-of-commons,344
uk.org.publicwhip/debate/2019-01-15b.1017.2.1,uk.org.publicwhip/debate/2019-01-15b.1017.2,2019-01-15,Leave for Bill: PUBLIC SECTOR SUPPLY CHAINS (PROJECT BANK ACCOUNTS),"I beg to move,
That leave be given to bring in a Bill to require public authorities to pay certain suppliers using project bank accounts; and for connected purposes.",house-of-commons,374
uk.org.publicwhip/debate/2019-01-15b.1020.1.2,uk.org.publicwhip/debate/2019-01-15b.1020.1,2019-01-15,EUROPEAN UNION (WITHDRAWAL) ACT: [9th Allotted Day],"Question again proposed,
That this House approves for the purposes of section 13(1)(b) of the European Union (Withdrawal) Act 2018, the negotiated withdrawal agreement laid before the House on Monday 26 November 2018 with the title ‘Agreement on the withdrawal of the United Kingdom of Great Britain and Northern Ireland from the European Union and the European Atomic Energy Community’ and the framework for the future relationship laid before the House on Monday 26 November 2018 with the title ‘Political Declaration setting out the framework for the future relationship between the European Union and the United Kingdom’.",house-of-commons,49
uk.org.publicwhip/debate/2019-01-15b.1116.6.2,uk.org.publicwhip/debate/2019-01-15b.1116.6,2019-01-15,Amendment: EUROPEAN UNION (WITHDRAWAL) ACT: [9th Allotted Day],"Amendment proposed: (f): at end, add
“subject to changes being made in the Withdrawal Agreement and in the Ireland/Northern Ireland Protocol so that the UK has the right to terminate the Protocol without having to secure the agreement of the EU.”—(Mr Baron.)",house-of-commons,48
uk.org.publicwhip/debate/2019-01-15b.1132.10.3,uk.org.publicwhip/debate/2019-01-15b.1132.10,2019-01-15,DELEGATED LEGISLATION: Energy Conservation,"Motion made, and Question put forthwith (Standing Order No. 118(6)),
That the draft Nuclear Safeguards (Fissionable Material and Relevant International Agreements) (EU Exit) Regulations 2018, which were laid before this House on 29 November 2018, be approved.—(Mark Spencer.)",house-of-commons,375
uk.org.publicwhip/debate/2019-01-15b.1133.1.3,uk.org.publicwhip/debate/2019-01-15b.1133.1,2019-01-15,Approve: Local Government Finance Act 1988 (Non-Domestic Rating Multipliers) (England) Order 2018,"Motion made, and Question put forthwith (Standing Order No. 118(6)),
That the draft Local Government Finance Act 1988 (Non-Domestic Rating Multipliers) (England) Order 2018, which was laid before this House on 4 December 2018, be approved.—(Mark Spencer.)",house-of-commons,376
uk.org.publicwhip/debate/2019-01-15b.1134.0.1,uk.org.publicwhip/debate/2019-01-15b.1134.0,2019-01-15,Adjournment Debate: EUROPEAN UNION DOCUMENTS,"Motion made, and Question proposed, That this House do now adjourn.—(Mark Spencer.)",house-of-commons,377
uk.org.publicwhip/debate/2019-01-16d.1168.1.1,uk.org.publicwhip/debate/2019-01-16d.1168.1,2019-01-16,Leave for Bill: LOW-LEVEL LETTER BOXES (PROHIBITION),"I beg to move,
That leave be given to bring in a Bill to amend building regulations to require letter boxes in new buildings to be positioned above a certain height; and for connected purposes.",house-of-commons,609
uk.org.publicwhip/debate/2019-01-16d.1171.1.1,uk.org.publicwhip/debate/2019-01-16d.1171.1,2019-01-16,BUSINESS OF THE HOUSE (TODAY): No Confidence in Her Majesty’s Government,"I beg to move,
That this House has no confidence in Her Majesty’s Government.",house-of-commons,125
uk.org.publicwhip/debate/2019-01-16d.1276.1.1,uk.org.publicwhip/debate/2019-01-16d.1276.1,2019-01-16,Adjournment Debate: CAR PRODUCTION: SOLIHULL,"Motion made, and Question proposed, That this House do now adjourn.—(Mike Freer.)",house-of-commons,610
uk.org.publicwhip/debate/2019-01-16d.1285.2.1,uk.org.publicwhip/debate/2019-01-16d.1285.2,2019-01-16,DEFERRED DIVISIONS: Energy Conservation,"That the draft Energy Efficiency (Private Rented Property) (England and Wales) (Amendment) Regulations 2018, which were laid before this House on 27 November 2018, be approved.",house-of-commons,127
uk.org.publicwhip/debate/2019-01-16d.1289.1.1,uk.org.publicwhip/debate/2019-01-16d.1289.1,2019-01-16,DEFERRED DIVISIONS: UK Participation In The EU Agency For Criminal Justice Cooperation (Eurojust): Post-Adoption Opt-In Decision,"That this House takes note of Regulation 2018/1727 of the European Parliament and of the Council on the European Union Agency for Criminal Justice Cooperation (Eurojust), and replacing and repealing Council Decision 2002/187/JHA; endorses the Government's decision to request to opt in under Protocol 21 on the Position of the United Kingdom and Ireland in respect of the Area of Freedom, Security and Justice annexed to the EU Treaties; and supports the Government's assessment that Eurojust provides a valuable service to the UK and that opting in would enable us to maintain operational continuity and minimise disruption for UK law enforcement and prosecution authorities during the proposed Implementation Period.
The House divided:
Ayes 577, Noes 20.",house-of-commons,126
uk.org.publicwhip/debate/2019-01-17a.1365.1.1,uk.org.publicwhip/debate/2019-01-17a.1365.1,2019-01-17,MENTAL HEALTH FIRST AID IN THE WORKPLACE,"I beg to move,
That this House notes that the UK is facing a mental health crisis; further notes that, according to the Independent Review into Mental Health in the Workplace 2017 commissioned by the Prime Minister, each year 300,000 people with long-term mental health conditions lose their job; recognises that Centre for Mental Health research shows presenteeism from mental health is estimated to cost the economy £15.1 billion per annum; acknowledges this same research shows it costs the economy £8.4 billion per annum for mental health absenteeism; considers that a recent poll by OnePoll found that 38 per cent of people reported being stressed about work; observes that the Health and Safety Act 1974 made it a legal necessity for workplaces to train someone in medical first aid; and calls on the Government to change this law via secondary legislation to provide clarity that an employer’s first aid responsibilities cover both physical and mental health and to add a requirement for workplaces to train mental health first aiders.",house-of-commons,283
uk.org.publicwhip/debate/2019-01-17a.1396.1.1,uk.org.publicwhip/debate/2019-01-17a.1396.1,2019-01-17,CHILDREN’S SOCIAL CARE,"I beg to move,
That this House has considered children’s social care in England.",house-of-commons,284
uk.org.publicwhip/debate/2019-01-17a.1426.0.1,uk.org.publicwhip/debate/2019-01-17a.1426.0,2019-01-17,Adjournment Debate: CHILDREN’S SOCIAL CARE,"Motion made, and Question proposed, That this House do now adjourn.—(Jeremy Quin.)",house-of-commons,285
uk.org.publicwhip/debate/2019-01-21a.102.20.1,uk.org.publicwhip/debate/2019-01-21a.102.20,2019-01-21,DELEGATED LEGISLATION: Exiting the European Union (Road Traffic),"That the draft Motor Vehicles (Wearing of Seat Belts) (Amendment) (EU Exit) Regulations 2018, which were laid before this House on 29 November, be approved.—(Jeremy Quin.)",house-of-commons,553
uk.org.publicwhip/debate/2019-01-21a.104.0.1,uk.org.publicwhip/debate/2019-01-21a.104.0,2019-01-21,Adjournment Debate: COMMITTEES,"Motion made, and Question proposed, That this House do now adjourn.—(Jeremy Quin.)",house-of-commons,554
uk.org.publicwhip/debate/2019-01-21a.81.6.1,uk.org.publicwhip/debate/2019-01-21a.81.6,2019-01-21,Second Reading: HEALTHCARE (INTERNATIONAL ARRANGEMENTS) BILL,"I beg to move, That the clause be read a Second time.",house-of-commons,108
uk.org.publicwhip/debate/2019-01-21a.94.2.1,uk.org.publicwhip/debate/2019-01-21a.94.2,2019-01-21,Amendment: HEALTHCARE (INTERNATIONAL ARRANGEMENTS) BILL: Regulations and directions,"Amendment proposed: 1, page 3, line 44, leave out subsections (5) and (6) and insert—
“(5) Any statutory instrument which contains regulations issued under this Act may not be made unless a draft of the instrument has been laid before Parliament and approved by a resolution of each House.” —(Justin Madders.)",house-of-commons,107
uk.org.publicwhip/debate/2019-01-21a.98.0.1,uk.org.publicwhip/debate/2019-01-21a.98.0,2019-01-21,Third Reading: HEALTHCARE (INTERNATIONAL ARRANGEMENTS) BILL,"I beg to move, That the Bill be now read the Third time.",house-of-commons,552
uk.org.publicwhip/debate/2019-01-22c.163.2.1,uk.org.publicwhip/debate/2019-01-22c.163.2,2019-01-22,Leave for Bill: GREEN DEAL (CONDUCT OF HOME ENERGY AND LIFESTYLE MANAGEMENT LTD),"I beg to move,
That leave be given to bring in a Bill to require the Secretary of State to review the conduct of Home Energy and Lifestyle Management Ltd in relation to the Green Deal; to require the Secretary of State to report on the merits of a scheme guaranteed by Her Majesty’s Government to compensate persons mis-sold loans under the Green Deal; and for connected purposes.",house-of-commons,535
uk.org.publicwhip/debate/2019-01-22c.166.1.1,uk.org.publicwhip/debate/2019-01-22c.166.1,2019-01-22,COUNTER-TERRORISM AND BORDER SECURITY BILL (PROGRAMME) (NO.3),"Motion made, and Question put forthwith (Standing Order No. 83A(7)),
That the following provisions shall apply to the Counter-Terrorism and Border Security Bill for the purpose of supplementing the Orders of 11 June 2018 (Counter-Terrorism and Border Security Bill (Programme)) and 11 September 2018 (Counter-Terrorism and Border Security Bill (Programme) (No.2)):
Consideration of Lords Amendments
(1) Proceedings on consideration of Lords Amendments shall (so far as not previously concluded) be brought to a conclusion at 7.00 pm at today’s sitting.
(2) The proceedings shall be taken in the following order: Lords Amendments Nos. 1 to 11, 13 and 16; Lords Amendments Nos. 12, 14, 15 and 17 to 42.
Subsequent stages
(3) Any further Message from the Lords may be considered forthwith without any Question being put.
(4) The proceedings on any further Message from the Lords shall (so far as not previously concluded) be brought to a conclusion one hour after their commencement.—(Michelle Donelan.)",house-of-commons,536
uk.org.publicwhip/debate/2019-01-22c.195.4.1,uk.org.publicwhip/debate/2019-01-22c.195.4,2019-01-22,DELEGATED LEGISLATION,"Motion made, and Question put forthwith (Standing Order No. 118(6)),
That the draft Crown Dependencies Customs Union (Guernsey) (EU Exit) Order 2018, which was laid before this House on 26 November, be approved.—(Jeremy Quin.)",house-of-commons,101
uk.org.publicwhip/debate/2019-01-22c.196.3.2,uk.org.publicwhip/debate/2019-01-22c.196.3,2019-01-22,DELEGATED LEGISLATION: Exiting the European Union (Customs) (Guernsey),"Motion made, and Question put forthwith (Standing Order No. 118(6)),
That the draft Crown Dependencies Customs Union (Isle of Man) (EU Exit) Order 2018, which was laid before this House on 26 November, be approved.—(Jeremy Quin.)",house-of-commons,102
uk.org.publicwhip/debate/2019-01-22c.200.3.2,uk.org.publicwhip/debate/2019-01-22c.200.3,2019-01-22,DELEGATED LEGISLATION: Exiting the European Union (Customs) (Isle of Man),"Motion made, and Question put forthwith (Standing Order No. 118(6)),
That the draft Crown Dependencies Customs Union (Jersey) (EU Exit) Order 2018, which was laid before this House on 26 November, be approved.—(Jeremy Quin.)",house-of-commons,103
uk.org.publicwhip/debate/2019-01-22c.208.0.2,uk.org.publicwhip/debate/2019-01-22c.208.0,2019-01-22,DELEGATED LEGISLATION: Exiting the European Union (Customs) (Jersey),"Motion made, and Question put forthwith (Standing Order No. 118(6)),
That the draft Higher Education (Fee Limits For Accelerated Courses) (England) Regulations 2018, which were laid before this House on 29 November 2018, be approved.—(Jeremy Quin.)",house-of-commons,104
uk.org.publicwhip/debate/2019-01-22c.208.4.3,uk.org.publicwhip/debate/2019-01-22c.208.4,2019-01-22,DELEGATED LEGISLATION: Education,"Motion made, and Question put forthwith (Standing Order No. 118(6)),
That the draft Intellectual Property (Exhaustion of Rights) (EU Exit) Regulations 2018, which were laid before this House on 27 November 2018, be approved.—(Jeremy Quin.)",house-of-commons,105
uk.org.publicwhip/debate/2019-01-22c.212.3.2,uk.org.publicwhip/debate/2019-01-22c.212.3,2019-01-22,DELEGATED LEGISLATION: Exiting the European Union (Intellectual Property),"Motion made, and Question put forthwith (Standing Order No. 118(6)),
That the draft Double Taxation Relief and International Tax Enforcement (Austria) Order 2018, which was laid before this House on 3 December 2018, be approved.—(Jeremy Quin.)",house-of-commons,537
uk.org.publicwhip/debate/2019-01-22c.219.0.1,uk.org.publicwhip/debate/2019-01-22c.219.0,2019-01-22,Adjournment Debate: PETITION - GREEN DEAL SCHEME,"Motion made, and Question proposed, That this House do now adjourn.—(Paul Maynard.)",house-of-commons,538
uk.org.publicwhip/debate/2019-01-23b.254.1.1,uk.org.publicwhip/debate/2019-01-23b.254.1,2019-01-23,Leave for Bill: ANCIENT WOODLAND INVENTORY (ENGLAND),"In the year that the Government have designated the year of green action, I beg to move,
That leave be given to bring in a Bill to make provision for the periodic updating of the Ancient Woodland Inventory for England; and for connected purposes.",house-of-commons,495
uk.org.publicwhip/debate/2019-01-23b.256.1.1,uk.org.publicwhip/debate/2019-01-23b.256.1,2019-01-23,TENANT FEES BILL (PROGRAMME) (NO. 3),"Motion made, and Question put forthwith (Standing Order No. 83A(7)),
That the following provisions shall apply to the Tenant Fees Bill for the purpose of supplementing the Orders of 21 May 2018 (Tenant Fees Bill (Programme)) and 5 September 2018 (Tenant Fees Bill (Programme) (No. 2)):
Consideration of Lords Amendments
(1) Proceedings on consideration of Lords Amendments shall (so far as not previously concluded) be brought to a conclusion three hours after their commencement at today’s sitting.
Subsequent stages
(2) Any further Message from the Lords may be considered forthwith without any Question being put.
(3) The proceedings on any further Message from the Lords shall (so far as not previously concluded) be brought to a conclusion one hour after their commencement.—(Jo Churchill.)",house-of-commons,496
uk.org.publicwhip/debate/2019-01-23b.277.2.1,uk.org.publicwhip/debate/2019-01-23b.277.2,2019-01-23,TENANT FEES BILL: Permitted Payments,"Motion made, and Question put, That this House agrees with Lords amendment 36.—(Mrs Wheeler.)",house-of-commons,91
uk.org.publicwhip/debate/2019-01-23b.283.11.3,uk.org.publicwhip/debate/2019-01-23b.283.11,2019-01-23,DELEGATED LEGISLATION: Exiting the European Union (Atomic Energy and Radioactive Substances),"Motion made, and Question put forthwith (Standing Order No. 118(6)),
That the draft Civil Legal Aid (Amendment) (EU Exit) Regulations 2019, which were laid before this House on 28 November 2018, be approved.—(Jeremy Quin.)",house-of-commons,92
uk.org.publicwhip/debate/2019-01-23b.283.9.1,uk.org.publicwhip/debate/2019-01-23b.283.9,2019-01-23,Approve: Spent Fuel (EU Exit) Regulations 2018,"Motion made, and Question put forthwith (Standing Order No. 118(6)),
That the draft Transfrontier Shipment of Radioactive Waste and Spent Fuel (EU Exit) Regulations 2018, which were laid before this House on 28 November 2018, be approved.—(Jeremy Quin.)",house-of-commons,497
