gid,date,major_heading_id,minor_heading_id,speech_id,paragraph_pid,agreed_text,motion_title,motion_gid,chamber,negative,__index_level_0__
uk.org.publicwhip/debate/2020-04-29b.397.0.16,2020-04-29,uk.org.publicwhip/debate/2020-04-29b.345.0,"",uk.org.publicwhip/debate/2020-04-29b.397.0,b397.0/16,Question put and agreed to.,Second Reading: Fire Safety Bill,uk.org.publicwhip/debate/2020-04-29b.345.3.1,house-of-commons,,115
uk.org.publicwhip/debate/2020-04-29b.399.1.14,2020-04-29,uk.org.publicwhip/debate/2020-04-29b.399.0,"",uk.org.publicwhip/debate/2020-04-29b.399.1,b399.1/14,Question agreed to.,Fire Safety bill (Programme),uk.org.publicwhip/debate/2020-04-29b.399.1.1,house-of-commons,,116
uk.org.publicwhip/debate/2020-04-29b.400.1.4,2020-04-29,uk.org.publicwhip/debate/2020-04-29b.400.0,"",uk.org.publicwhip/debate/2020-04-29b.400.1,b400.1/4,Question agreed to.,Fire Safety Bill (Money),uk.org.publicwhip/debate/2020-04-29b.400.1.2,house-of-commons,,117
uk.org.publicwhip/debate/2020-04-29b.400.4.3,2020-04-29,uk.org.publicwhip/debate/2020-04-29b.400.3,"",uk.org.publicwhip/debate/2020-04-29b.400.4,b400.4/3,Question agreed to.,Section 5 of the European Communities (Amendment) Act 1993,uk.org.publicwhip/debate/2020-04-29b.400.4.1,house-of-commons,,118
uk.org.publicwhip/debate/2020-05-04a.465.0.19,2020-05-04,uk.org.publicwhip/debate/2020-05-04a.441.0,"",uk.org.publicwhip/debate/2020-05-04a.465.0,a465.0/19,Question put and agreed to.,Public Health,uk.org.publicwhip/debate/2020-05-04a.441.2.1,house-of-commons,,399
uk.org.publicwhip/debate/2020-05-04a.473.0.2,2020-05-04,uk.org.publicwhip/debate/2020-05-04a.470.0,"",uk.org.publicwhip/debate/2020-05-04a.473.0,a473.0/2,Question put and agreed to.,Pensions,uk.org.publicwhip/debate/2020-05-04a.470.1.1,house-of-commons,,400
uk.org.publicwhip/debate/2020-05-04a.474.4.3,2020-05-04,uk.org.publicwhip/debate/2020-05-04a.474.3,"",uk.org.publicwhip/debate/2020-05-04a.474.4,a474.4/3,Question agreed to.,Environment Bill: Programme (No. 2),uk.org.publicwhip/debate/2020-05-04a.474.4.1,house-of-commons,,401
uk.org.publicwhip/debate/2020-05-05b.520.0.11,2020-05-05,uk.org.publicwhip/debate/2020-05-05b.511.0,"",uk.org.publicwhip/debate/2020-05-05b.520.0,b520.0/11,Question put and agreed to.,Local Government,uk.org.publicwhip/debate/2020-05-05b.511.2.1,house-of-commons,,129
uk.org.publicwhip/debate/2020-05-05b.534.1.11,2020-05-05,uk.org.publicwhip/debate/2020-05-05b.523.0,"",uk.org.publicwhip/debate/2020-05-05b.534.1,b534.1/11,Question put and agreed to.,Approve: Employment Allowance (Increase of Maximum Amount) Regulations 2020,uk.org.publicwhip/debate/2020-05-05b.523.2.1,house-of-commons,,130
uk.org.publicwhip/debate/2020-05-06a.604.1.4,2020-05-06,uk.org.publicwhip/debate/2020-05-06a.585.0,"",uk.org.publicwhip/debate/2020-05-06a.604.1,a604.1/4,Question put and agreed to.,Census,uk.org.publicwhip/debate/2020-05-06a.585.1.1,house-of-commons,,184
